#Copied from http://snpeff.sourceforge.net/SnpEff_manual.html
#Effect	Effect	Note & Example 	Impact
Effect	Effect	Note & Example 	Impact
5_prime_UTR_variant 	UTR_5_PRIME	Variant hits 5'UTR region 	MODIFIER 
5_prime_UTR_truncation + exon_loss_variant	UTR_5_DELETED	The variant deletes an exon which is in the 5'UTR of the transcript 	MODERATE 
3_prime_UTR_variant 	UTR_3_PRIME	Variant hits 3'UTR region 	MODIFIER 
3_prime_UTR_truncation + exon_loss 	UTR_3_DELETED	The variant deletes an exon which is in the 3'UTR of the transcript 	MODERATE 
upstream_gene_variant 	UPSTREAM	Upstream of a gene (default length: 5K bases) 	MODIFIER 
feature_ablation	TRANSCRIPT_DELETED	Deletion of a transcript. 	HIGH 
transcript_variant 	TRANSCRIPT	The variant hits a transcript. 	MODIFIER 
stop_retained_variant 	SYNONYMOUS_STOP	Variant causes stop codon to be mutated into another stop codon. 	LOW 
start_retained 	SYNONYMOUS_START	Variant causes start codon to be mutated into another start codon. 	LOW 
synonymous_variant 	SYNONYMOUS_CODING	Variant causes a codon that produces the same amino acid 	LOW 
stop_lost 	STOP_LOST	Variant causes stop codon to be mutated into a non-stop codon 	HIGH 
stop_gained 	STOP_GAINED	Variant causes a STOP codon 	HIGH 
start_lost	START_LOST	Variant causes start codon to be mutated into a non-start codon. 	HIGH 
5_prime_UTR_premature start_codon_gain_variant 	START_GAINED	A variant in 5'UTR region produces a three base sequence that can be a START codon. 	LOW 
splice_region_variant 	SPLICE_SITE_REGION	A sequence variant in which a change has occurred within the region of the splice site, either within 1-3 bases of the exon or 3-8 bases of the intron.	LOW 
splice_donor_variant 	SPLICE_SITE_DONOR	The variant hits a Splice donor site (defined as two bases after coding exon end, except for the last exon). 	HIGH 
splice_region_variant 	SPLICE_SITE_BRANCH_U12	A varaint affective putative (Lariat) branch point from U12 splicing machinery, located in the intron.	MODERATE 
splice_region_variant 	SPLICE_SITE_BRANCH	A varaint affective putative (Lariat) branch point, located in the intron.	LOW 
splice_acceptor_variant 	SPLICE_SITE_ACCEPTOR	The variant hits a splice acceptor site (defined as two bases before exon start, except for the first exon). 	HIGH 
regulatory_region_variant 	REGULATION	The variant hits a known regulatory feature (non-coding). 	MODIFIER 
rare_amino_acid_variant	RARE_AMINO_ACID	The variant hits a rare amino acid thus is likely to produce protein loss of function 	HIGH 
structural_interaction_variant	PROTEIN_STRUCTURAL_INTERACTION_LOCUS	Within protein interacion loci (e.g. two AA that are in contact within the same protein, prossibly helping structural conformation). 	HIGH 
protein_protein_contact	PROTEIN_PROTEIN_INTERACTION_LOCUS	Protein-Protein interacion loci. 	HIGH 
stop_retained_variant 	NON_SYNONYMOUS_STOP	Variant causes stop codon to be mutated into another stop codon (the new codon produces a different AA). 	LOW 
initiator_codon_variant 	NON_SYNONYMOUS_START	Variant causes start codon to be mutated into another start codon (the new codon produces a different AA). 	LOW 
missense_variant 	NON_SYNONYMOUS_CODING	Variant causes a codon that produces a different amino acid 	MODERATE 
sequence_feature + exon_loss_variant	NEXT_PROT	A 'NextProt' based annotation. Details are provided in the 'feature type' sub-field (ANN), or in the effect details (EFF). 	MODERATE
miRNA 	MICRO_RNA	Variant affects an miRNA 	MODIFIER 
conserved_intron_variant 	INTRON_CONSERVED	The variant is in a highly conserved intronic region 	MODIFIER 
intron_variant 	INTRON	Variant hits and intron. Technically, hits no exon in the transcript. 	MODIFIER 
intragenic_variant	INTRAGENIC	The variant hits a gene, but no transcripts within the gene	MODIFIER 
conserved_intergenic_variant	INTERGENIC_CONSERVED	The variant is in a highly conserved intergenic region 	MODIFIER 
intergenic_region	INTERGENIC	The variant is in an intergenic region 	MODIFIER 
rearranged_at_DNA_level	GENE_REARRANGEMENT	Rearrengment affecting one or more genes. 	HIGH 
bidirectional_gene_fusion	GENE_FUSION_REVERESE	Fusion of two genes in opposite directions. 	HIGH 
gene_fusion	GENE_FUSION_HALF	Fusion of one gene and an intergenic region. 	HIGH 
gene_fusion	GENE_FUSION	Fusion of two genes. 	HIGH 
duplication	GENE_DUPLICATION	Duplication of a gene. 	HIGH 
feature_ablation	GENE_DELETED	Deletion of a gene. 	HIGH 
gene_variant 	GENE	The variant hits a gene. 	MODIFIER 
frameshift_variant 	FRAME_SHIFT	Insertion or deletion causes a frame shift 	HIGH 
inversion	EXON_INVERSION_PARTIAL	Inversion affecting part of an exon. 	HIGH 
inversion	EXON_INVERSION	Inversion of an exon. 	HIGH 
duplication	EXON_DUPLICATION_PARTIAL	Duplication affecting part of an exon. 	HIGH 
duplication	EXON_DUPLICATION	Duplication of an exon. 	HIGH 
exon_loss_variant	EXON_DELETED_PARTIAL	Deletion affecting part of an exon. 	HIGH 
exon_loss_variant 	EXON_DELETED	A deletion removes the whole exon. 	HIGH 
exon_variant 	EXON	The variant hits an exon (from a non-coding transcript) or a retained intron. 	MODIFIER 
