chr	hg18	hg18_ceiling	hg19	hg19_ceiling	hg38	hg38_ceiling	Maximum
0		-1		-1		-1	-1
1	"247,249,719"	247300000	"249,250,621"	249300000	"248,956,422"	249000000	249300000
2	"242,951,149"	243000000	"243,199,373"	243200000	"242,193,529"	242200000	243200000
3	"199,501,827"	199600000	"198,022,430"	198100000	"198,295,559"	198300000	199600000
4	"191,273,063"	191300000	"191,154,276"	191200000	"190,214,555"	190300000	191300000
5	"180,857,866"	180900000	"180,915,260"	181000000	"181,538,259"	181600000	181600000
6	"170,899,992"	170900000	"171,115,067"	171200000	"170,805,979"	170900000	171200000
7	"158,821,424"	158900000	"159,138,663"	159200000	"159,345,973"	159400000	159400000
8	"146,274,826"	146300000	"146,364,022"	146400000	"145,138,636"	145200000	146400000
9	"140,273,252"	140300000	"141,213,431"	141300000	"138,394,717"	138400000	141300000
10	"135,374,737"	135400000	"135,534,747"	135600000	"133,797,422"	133800000	135600000
11	"134,452,384"	134500000	"135,006,516"	135100000	"135,086,622"	135100000	135100000
12	"132,349,534"	132400000	"133,851,895"	133900000	"133,275,309"	133300000	133900000
13	"114,142,980"	114200000	"115,169,878"	115200000	"114,364,328"	114400000	115200000
14	"106,368,585"	106400000	"107,349,540"	107400000	"107,043,718"	107100000	107400000
15	"100,338,915"	100400000	"102,531,392"	102600000	"101,991,189"	102000000	102600000
16	"88,827,254"	88900000	"90,354,753"	90400000	"90,338,345"	90400000	90400000
17	"78,774,742"	78800000	"81,195,210"	81200000	"83,257,441"	83300000	83300000
18	"76,117,153"	76200000	"78,077,248"	78100000	"80,373,285"	80400000	80400000
19	"63,811,651"	63900000	"59,128,983"	59200000	"58,617,616"	58700000	63900000
20	"62,435,964"	62500000	"63,025,520"	63100000	"64,444,167"	64500000	64500000
21	"46,944,323"	47000000	"48,129,895"	48200000	"46,709,983"	46800000	48200000
22	"49,691,432"	49700000	"51,304,566"	51400000	"50,818,468"	50900000	51400000
X	"154,913,754"	155000000	"155,270,560"	155300000	"156,040,895"	156100000	156100000
Y	"57,772,954"	57800000	"59,373,566"	59400000	"57,227,415"	57300000	59400000
XY	"154,913,754"	155000000	"155,270,560"	155300000	"156,040,895"	156100000	156100000
MT	"16,571"	20000	"16,571"	20000	"16,569"	20000	20000
